,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Championship,2425,Blackburn,Adam Forshaw,ENG,MF,32,1991,16,5,563,6.3,1,0,1,1,0,0,2,0,0.16,0.0,0.16,0.16,0.16
ENG-Championship,2425,Blackburn,Amario Cozier-Duberry,ENG,MF,19,2005,22,6,723,8.0,1,0,1,1,0,0,0,0,0.12,0.0,0.12,0.12,0.12
ENG-Championship,2425,Blackburn,Andreas Weimann,AUT,MF,32,1991,30,15,1411,15.7,7,2,9,7,0,0,2,0,0.45,0.13,0.57,0.45,0.57
ENG-Championship,2425,Blackburn,Arnór Sigurðsson,ISL,"FW,MF",25,1999,5,0,62,0.7,1,0,1,1,0,0,0,0,1.45,0.0,1.45,1.45,1.45
ENG-Championship,2425,Blackburn,Augustus Kargbo,SLE,MF,24,1999,8,2,186,2.1,0,1,1,0,0,0,0,0,0.0,0.48,0.48,0.0,0.48
ENG-Championship,2425,Blackburn,Aynsley Pears,ENG,GK,26,1998,40,40,3600,40.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Blackburn,Balázs Tóth,HUN,GK,26,1997,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Blackburn,Callum Brittain,ENG,DF,26,1998,33,30,2659,29.5,2,5,7,2,0,0,5,0,0.07,0.17,0.24,0.07,0.24
ENG-Championship,2425,Blackburn,Cauley Woodrow,ENG,MF,29,1994,9,2,222,2.5,0,1,1,0,0,0,0,0,0.0,0.41,0.41,0.0,0.41
ENG-Championship,2425,Blackburn,Danny Batth,ENG,DF,33,1990,37,34,3009,33.4,2,0,2,2,0,0,5,0,0.06,0.0,0.06,0.06,0.06
ENG-Championship,2425,Blackburn,Dion Sanderson,ENG,DF,24,1999,12,4,567,6.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Blackburn,Dominic Hyam,SCO,DF,28,1995,46,46,4140,46.0,2,2,4,2,0,0,5,0,0.04,0.04,0.09,0.04,0.09
ENG-Championship,2425,Blackburn,Emmanuel Dennis,NGA,MF,26,1997,6,1,160,1.8,0,1,1,0,0,0,3,1,0.0,0.56,0.56,0.0,0.56
ENG-Championship,2425,Blackburn,Harry Leonard,ENG,FW,20,2003,9,0,149,1.7,1,0,1,1,0,0,0,0,0.6,0.0,0.6,0.6,0.6
ENG-Championship,2425,Blackburn,Harry Pickering,ENG,DF,25,1998,15,12,1039,11.5,0,1,1,0,0,0,2,0,0.0,0.09,0.09,0.0,0.09
ENG-Championship,2425,Blackburn,Hayden Carter,ENG,DF,24,1999,16,16,1363,15.1,0,1,1,0,0,0,5,0,0.0,0.07,0.07,0.0,0.07
ENG-Championship,2425,Blackburn,Igor Tyjon,ENG,FW,16,2008,2,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Blackburn,Joe Rankin-Costello,ENG,"DF,MF",25,1999,29,13,1249,13.9,2,2,4,2,0,0,4,0,0.14,0.14,0.29,0.14,0.29
ENG-Championship,2425,Blackburn,John Buckley,ENG,MF,24,1999,23,8,855,9.5,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Blackburn,Kristi Montgomery,SCO,DF,20,2004,3,1,137,1.5,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Blackburn,Kyle McFadzean,SCO,DF,37,1987,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Blackburn,Leo Duru,ENG,DF,19,2005,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Blackburn,Lewis Baker,ENG,MF,29,1995,13,7,596,6.6,1,0,1,1,0,0,2,0,0.15,0.0,0.15,0.15,0.15
ENG-Championship,2425,Blackburn,Lewis Travis,ENG,MF,26,1997,38,37,3216,35.7,2,1,3,2,0,0,11,0,0.06,0.03,0.08,0.06,0.08
ENG-Championship,2425,Blackburn,Makhtar Gueye,SEN,FW,26,1997,44,23,2193,24.4,6,6,12,6,0,0,10,1,0.25,0.25,0.49,0.25,0.49
ENG-Championship,2425,Blackburn,Owen Beck,WAL,"DF,MF",21,2002,24,21,1874,20.8,1,0,1,1,0,0,3,1,0.05,0.0,0.05,0.05,0.05
ENG-Championship,2425,Blackburn,Ryan Hedges,WAL,MF,29,1995,42,33,2561,28.5,1,2,3,1,0,0,4,0,0.04,0.07,0.11,0.04,0.11
ENG-Championship,2425,Blackburn,Sammie Szmodics,IRL,"FW,MF",28,1995,1,0,26,0.3,1,1,2,1,0,0,0,0,3.46,3.46,6.92,3.46,6.92
ENG-Championship,2425,Blackburn,Sondre Tronstad,NOR,MF,28,1995,38,36,3130,34.8,2,0,2,2,0,0,5,0,0.06,0.0,0.06,0.06,0.06
ENG-Championship,2425,Blackburn,Todd Cantwell,ENG,MF,26,1998,37,27,2479,27.5,3,7,10,1,2,2,6,0,0.11,0.25,0.36,0.04,0.29
ENG-Championship,2425,Blackburn,Tyrhys Dolan,ENG,MF,22,2001,44,40,3175,35.3,7,6,13,6,1,1,12,0,0.2,0.17,0.37,0.17,0.34
ENG-Championship,2425,Blackburn,Yuki Ohashi,JPN,"FW,MF",28,1996,36,26,2221,24.7,9,3,12,9,0,0,3,0,0.36,0.12,0.49,0.36,0.49
ENG-Championship,2425,Blackburn,Yuri Ribeiro,POR,DF,27,1997,15,15,1350,15.0,0,1,1,0,0,0,0,0,0.0,0.07,0.07,0.0,0.07
ENG-Championship,2425,Bristol City,Anis Mehmeti,ALB,"MF,FW",23,2001,42,29,2558,28.4,12,1,13,10,2,2,3,0,0.42,0.04,0.46,0.35,0.39
ENG-Championship,2425,Bristol City,Cameron Pring,ENG,"DF,MF",26,1998,32,27,2228,24.8,0,3,3,0,0,0,8,0,0.0,0.12,0.12,0.0,0.12
ENG-Championship,2425,Bristol City,Elijah Morrison,ENG,MF,18,2006,3,0,39,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Bristol City,Fally Mayulu,FRA,FW,22,2002,15,3,402,4.5,2,0,2,2,0,0,0,0,0.45,0.0,0.45,0.45,0.45
ENG-Championship,2425,Bristol City,George Earthy,ENG,"MF,FW",19,2004,37,11,1457,16.2,3,1,4,3,0,0,3,0,0.19,0.06,0.25,0.19,0.25
ENG-Championship,2425,Bristol City,George Tanner,ENG,"DF,MF",24,1999,32,23,2002,22.2,2,0,2,2,0,0,2,0,0.09,0.0,0.09,0.09,0.09
ENG-Championship,2425,Bristol City,Harry Cornick,ENG,"FW,MF",29,1995,3,0,38,0.4,1,0,1,1,0,0,0,0,2.37,0.0,2.37,2.37,2.37
ENG-Championship,2425,Bristol City,Haydon Roberts,ENG,"MF,DF",22,2002,30,15,1635,18.2,1,1,2,1,0,0,5,0,0.06,0.06,0.11,0.06,0.11
ENG-Championship,2425,Bristol City,Jason Knight,IRL,MF,23,2001,46,46,4140,46.0,3,6,9,3,0,0,6,0,0.07,0.13,0.2,0.07,0.2
ENG-Championship,2425,Bristol City,Joe Williams,ENG,MF,27,1996,24,18,1417,15.7,0,4,4,0,0,0,6,1,0.0,0.25,0.25,0.0,0.25
ENG-Championship,2425,Bristol City,Kal Naismith,SCO,DF,32,1992,6,2,286,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Bristol City,Luke McNally,IRL,DF,24,1999,26,26,2322,25.8,3,1,4,3,0,0,5,0,0.12,0.04,0.16,0.12,0.16
ENG-Championship,2425,Bristol City,Marcus McGuane,ENG,MF,25,1999,21,11,1063,11.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Bristol City,Mark Sykes,IRL,MF,26,1997,27,21,1707,19.0,3,4,7,3,0,0,5,0,0.16,0.21,0.37,0.16,0.37
ENG-Championship,2425,Bristol City,Max Bird,ENG,MF,23,2000,46,43,3481,38.7,1,8,9,1,0,0,1,0,0.03,0.21,0.23,0.03,0.23
